signals,size,development_sharpe,development_sharpe_standard_error,development_mean_daily_return,development_daily_volatility,evaluation_sharpe,evaluation_sharpe_standard_error
headline/actionable_sentiment_all|headline/sentiment_all|llm/gemma-4-31b,3,0.4380840034305295,1.72215992560994,0.00011317592896643043,0.00410106774179035,-0.45280130549257147,2.575708969907365
headline/actionable_sentiment_all|headline/sentiment_all|llm/vader,3,0.6202207107232977,1.7224890911120627,0.00017069081006484531,0.0043688199382031145,-0.027004943504920248,2.5751870889289763
headline/actionable_sentiment_all|headline/sentiment_non_reuters|headline/sentiment_reuters,3,0.18555572552657684,1.7218909423129183,4.345833347591892e-05,0.00371791091148388,-0.9745026569709417,2.577610213653754
headline/actionable_sentiment_all|headline/sentiment_non_reuters|llm/finbert,3,0.5380304820677209,1.7223265332266906,0.0001449718745574644,0.0042773731968177775,-0.04305174666749167,2.575189960936176
headline/actionable_sentiment_all|headline/sentiment_non_reuters|llm/gemma-4-31b,3,0.3667745144371972,1.7220619028711597,9.556340915059666e-05,0.004136116416452151,-0.63454498518044,2.5762136826476096
headline/actionable_sentiment_all|headline/sentiment_non_reuters|llm/vader,3,0.5509171830138002,1.7223504967861931,0.00015307829024901147,0.004410903485415914,-0.20509221571886949,2.5752926834606904
headline/actionable_sentiment_all|headline/sentiment_reuters|llm/finbert,3,-0.003954271293985736,1.7218321562599967,-8.363263724567943e-07,0.003357450359722494,-0.533118560019859,2.575911222008932
headline/actionable_sentiment_all|headline/sentiment_reuters|llm/gemma-4-31b,3,-0.24793537298268167,1.7219371306914713,-5.024479177932438e-05,0.00321701309801245,-1.263069782314099,2.579257709606724
headline/actionable_sentiment_all|headline/sentiment_reuters|llm/vader,3,0.0323692620404207,1.7218339193141525,7.2700893190903166e-06,0.0035653914488728133,-0.692548386745724,2.576410250686388
headline/actionable_sentiment_all|llm/finbert|llm/gemma-4-31b,3,0.21226485836628778,1.7219090916259492,5.126874930222102e-05,0.003834201150213652,-0.28795471752900226,2.575397051451094
headline/actionable_sentiment_all|llm/finbert|llm/vader,3,0.41747448532096315,1.7221298115754873,0.00010878363040063559,0.004136508115463435,0.16139627652461414,2.575251772970016
headline/actionable_sentiment_all|llm/gemma-4-31b|llm/vader,3,0.24058735042130766,1.7219309992891236,5.937516499376808e-05,0.003917710229199783,-0.43821129464264025,2.575675765029933
headline/sentiment_all|headline/sentiment_non_reuters|headline/sentiment_reuters,3,0.8814237859178325,1.723158706784419,0.00022178545679219059,0.003994372553529196,-0.0506573588101561,2.575191781739151
headline/sentiment_all|headline/sentiment_non_reuters|llm/finbert,3,1.1038679318529647,1.7239123159272705,0.0003232989978737359,0.0046492993743616085,0.6261905893508243,2.576186784903813
headline/sentiment_all|headline/sentiment_non_reuters|llm/gemma-4-31b,3,0.976121087357744,1.7234589235146458,0.0002738905324668683,0.004454239815619203,0.06052099537702799,2.575194583324779
headline/sentiment_all|headline/sentiment_non_reuters|llm/vader,3,1.099394758026205,1.7238955011900765,0.00033140541356528293,0.004785267353876271,0.4537982659020358,2.5757112785294654
headline/sentiment_all|headline/sentiment_reuters|llm/finbert,3,0.7698236483728602,1.7228441403842762,0.0001774907969438149,0.003660031824498205,0.40381922717885693,2.575601794696776
headline/sentiment_all|headline/sentiment_reuters|llm/gemma-4-31b,3,0.5897732749924575,1.7224261830266792,0.00012808233153694724,0.0034475010410645163,-0.34127208065767445,2.5754827514596697
headline/sentiment_all|headline/sentiment_reuters|llm/vader,3,0.7617887626991847,1.7228231313388855,0.0001855972126353619,0.0038675608728073025,0.1813596378095046,2.575269253470674
headline/sentiment_all|llm/finbert|llm/gemma-4-31b,3,0.8731255390296997,1.7231338553838569,0.00022959587261849257,0.00417433842334143,0.4230753790924266,2.57564246654672
headline/sentiment_all|llm/finbert|llm/vader,3,1.0055429880610982,1.7235584201447869,0.0002871107537169076,0.004532617672757887,0.816773303577343,2.576888981712549
headline/sentiment_all|llm/gemma-4-31b|llm/vader,3,0.8846191251879559,1.7231683387033598,0.00023770228831003978,0.004265572310381947,0.249061082287001,2.5753436955674123
headline/sentiment_non_reuters|headline/sentiment_reuters|llm/finbert,3,0.685809972241089,1.7226353533740875,0.00015987827712798103,0.0037007175028951323,0.18094495246024317,2.5752688696517967
headline/sentiment_non_reuters|headline/sentiment_reuters|llm/gemma-4-31b,3,0.5025731588196322,1.72226352390234,0.00011046981172111329,0.003489350484382972,-0.5722924806659784,2.5760218174016503
headline/sentiment_non_reuters|headline/sentiment_reuters|llm/vader,3,0.6811009870069534,1.7226243634000487,0.00016798469281952813,0.0039152407329708806,-0.02841277430828976,2.575187288247063
